text_id,thread_text
2365,Just seeing if anybody has any tracks that they wouldnt mind me having a go at mixing? Just for personal use and practice I was hoping to do some post hardcore but anything would be great. Thanks in advance
3111,Im speechless Edit: im listening the album on Spotify and i really like it (and im not a jazz fan)
1085,"I just got a new ""special"" Mesa Rectifier a day or two ago, and I want some DIs to play with to see if this thing is staying in the amp tower of power or not. Because of this, two people are getting free reamps First two people to get me some awesome sounding DIs with a backing track of a well played and edited song before 12:00 P.M. NOON EST on August 9th (today) get the reamps! Get on this fast, because I plan on taking most of the day off tomorrow, but my love for guitar tone cannot be fettered. I may accept submissions up 'till 12:00 or 1:00, GO GO GO! Post in this thread, AND PM me if possible. Cheers, Greg"
3959,"I didn't know weather to post this in the off topic because its a bit random, or in the main thread because I will probably post the finished product here to get your thoughts. But first a little back story. Some of you video game heads may know of the Overclocked Remix site. A site for people to upload remix or rearrangements of video games old and new. Such reworkings range from techno/electronic to orchestral and metal renditions. I settled that my first attempt at an rearrangement would be of Golgo 13's ""The Mafat Conspiracy"". Being a fan of the comics(manga) and enjoying the NES games, I thought it would be a great way to redo the main theme outside of its ""chiptune"" territory. Anywhos, my only delimma is that I'm torn on what ""style"" to do it in. Either a very modern John Powell like vibe with some synths, or a 60's/70's retro feel, or a subtle Trip Hop vibe to an avant-garde, out there feel. I'll put the poll up to get what you guys think and after a week I will go with the finished result. Oh, if your curious as to what the theme sounds like, you can just youtube ""Top Secret Mission"", or ""Mafat Conspiracy"" to hear it. After I get this one knocked out, I have plans to do some Castlevania Symphony of the Night."
3160,Is anyone comnig?
3929,Does anyone know if the guitars on the latest Arch Enemy dvd were reamped? And if so do you know what amps they used. I love the guitar tone on that performance.
1,"Hi everybody, since I have joined this Forum (community I should say), I have seen a number of recurrent persons here kindly giving advices and providing their help. And I realised that we don't know much about each other, so I'm creating this thread to help people introduce themselves and stuff... This could be cool I guess, so here I'm starting. Name: Brett Location: South of France Age: 35 Own Band: KALISIA (Guitar, Vocals, Programming, Producer) Occupation: Metal Producer, I used to be a graphic designer but I did quit it to work on my album. This is my studio website : Tower Studio and this my band website : KALISIA Musical Tastes: Metal (almost all types of metal), Progressive Rock, Movies Soundtrack, sometimes Pop Rock. Favorite Band: Dream Theater I guess... but the old one (I&W, Awake & SFAM). Favorite Album: Images & Words (Dream Theater) Favorite Producer: Needless to say, Andy rules !!! Production Experience: Getting bigger and bigger: albums, some demos, recording, mixing and mastering of French and International bands signed and unsigned, and occasionally doing FOH. I have worked with/for the following bands: Cynic (USA), Devin Townsend Project (CAN), Sacred Reich (USA), Between The Buried And Me (USA), Ram-Zet (NO), Kalisia (FR), To-Mera (UK/HU), Freak Kitchen (SW), Xerath (UK), Imperial Vengeance (UK), Forest Stream (RU), Malmonde (FR), Whyzdom (FR), Agora (MX), Theodore Ziras (GR), Hysteria (FR), Hand of God (GR), Fairlight (FR), Pulse (FR), Bomb Scare Crew (FR), Khynn (FR), The Arkitecht (MX), Veils of Perception (FR), Christophe Godin's Metal Kartoon (FR), Cromonic (SW), Auspex (FR), Six Feet Or Above Ground (IRE), Akphaezya (FR), Hypno5e (FR), Still Square (FR), Cigue (FR)... And other artists such as: Arjen Lucassen (Ayreon), Angela Gossow (Arch Enemy), Dave Mustaine (Megadeth), Ludovic Loez (SUP), Andy Sneap, etc... Goal: Getting better and better at what I do. Production Gear : Too much to write here, check out the ""Equipment"" section in my website. That's all for me, I hope you'll like the idea and share your resume with us. Brett Updated : December 2010"
4598,Free ones! I'm going on tour with my buddies band and scored new pickups for my bass through their EMG deal. Sweeeeeeeet!
343,Hey guys ! I would really appreciate some opinions and critics about this ! I had some serious problems in mixing the vocals... Cause I did it just a several times. Would be nice to get some feedback from you guys!
4541,"heres some samples i made at a session last night. The snare is quite nice, but the kick is alright, it might be useable for some rock or something. http://files.getdropbox.com/u/561383/KeithTidd 7-11-09 samples.rar the snare is some sort of small wood snare, i don't know the brand, but it sounded good. It had a coated ambassador? on it. the chain was a 57>chandler tg2>ssl 9000 ch. eq> tubetech pultec. The overheads wer glynn johns with a 57 above the snare, 421 to the front and left. the kick is an e602>tg2>ssl 9k eq here's me fucking around on the kit, so you can get an idea of how it sounds, although the snare sample sounds abit better once i chopped it up. http://files.getdropbox.com/u/561383/drums clip.mp3"
2206,I didn't even know this thing was out until today but I'm loving it. Pretty chill and the production is pretty raw which I think really suits them.
4451,okay people. everyone post your bugs with revalver and i promise you i will get them fixed asap i am part of revalver tech support now email if you want to ryan@peaveysoftware.com
